时间,币价,MVRV,辅助线,SMA60
2010/8/16 0:00,0.0655,7.138375,1,null
2010/8/17 0:00,0.07,7.509859,1,null
2010/8/18 0:00,0.068,7.147964,1,null
2010/8/19 0:00,0.0667,6.931684,1,null
2010/8/20 0:00,0.0655,6.694129,1,null
2010/8/21 0:00,0.0664,6.617756,1,null
2010/8/22 0:00,0.066,6.415687,1,null
2010/8/23 0:00,0.0649,6.224956,1,null
2010/8/24 0:00,0.065,6.13247,1,null
2010/8/25 0:00,0.0648,6.023861,1,null
2010/8/26 0:00,0.064,5.87469,1,null
2010/8/27 0:00,0.065,5.872092,1,null
2010/8/28 0:00,0.0641,5.774976,1,null
2010/8/29 0:00,0.064,5.662729,1,null
2010/8/30 0:00,0.065,5.690502,1,null
2010/8/31 0:00,0.06,5.191598,1,null
2010/9/1 0:00,0.0629,5.318913,1,null
2010/9/2 0:00,0.0634,5.385225,1,null
2010/9/3 0:00,0.0609,5.121796,1,null
2010/9/4 0:00,0.0624,5.182359,1,null
2010/9/5 0:00,0.0616,5.068973,1,null
2010/9/6 0:00,0.0616,5.032073,1,null
2010/9/7 0:00,0.061,4.948163,1,null
2010/9/8 0:00,0.062,4.888361,1,null
2010/9/9 0:00,0.0611,4.795458,1,null
2010/9/10 0:00,0.0618,4.746695,1,null
2010/9/11 0:00,0.0637,4.910611,1,null
2010/9/12 0:00,0.0615,4.696999,1,null
2010/9/13 0:00,0.0622,4.706415,1,null
2010/9/14 0:00,0.062,4.645129,1,null
2010/9/15 0:00,0.0604,4.454289,1,null
2010/9/16 0:00,0.0619,4.476339,1,null
2010/9/17 0:00,0.059,4.192748,1,null
2010/9/18 0:00,0.061,4.22048,1,null
2010/9/19 0:00,0.0627,4.295341,1,null
2010/9/20 0:00,0.0621,4.220434,1,null
2010/9/21 0:00,0.0627,4.226022,1,null
2010/9/22 0:00,0.0622,4.141624,1,null
2010/9/23 0:00,0.0623,4.114974,1,null
2010/9/24 0:00,0.0622,4.079547,1,null
2010/9/25 0:00,0.062,4.032784,1,null
2010/9/26 0:00,0.062,4.000706,1,null
2010/9/27 0:00,0.0622,3.917512,1,null
2010/9/28 0:00,0.0619,3.703188,1,null
2010/9/29 0:00,0.0619,3.673698,1,null
2010/9/30 0:00,0.0619,3.586975,1,null
2010/10/1 0:00,0.062,3.572187,1,null
2010/10/2 0:00,0.0614,3.266072,1,null
2010/10/3 0:00,0.0611,3.238079,1,null
2010/10/4 0:00,0.0613,3.234176,1,null
2010/10/5 0:00,0.0614,3.170036,1,null
2010/10/6 0:00,0.0628,3.224213,1,null
2010/10/7 0:00,0.067,3.40312,1,null
2010/10/8 0:00,0.0869,4.148338,1,null
2010/10/9 0:00,0.0938,4.407666,1,null
2010/10/10 0:00,0.0965,4.4588,1,null
2010/10/11 0:00,0.095,4.281175,1,null
2010/10/12 0:00,0.0949,4.236029,1,null
2010/10/13 0:00,0.105,4.550446,1,null
2010/10/14 0:00,0.102,4.358445,1,4.820599017
2010/10/15 0:00,0.105,4.343539,1,4.774018417
2010/10/16 0:00,0.101,4.069854,1,4.716685
2010/10/17 0:00,0.102,4.062779,1,4.66526525
2010/10/18 0:00,0.1024,4.029949,1,4.616903
2010/10/19 0:00,0.097,3.807617,1,4.568794467
2010/10/20 0:00,0.099,3.818649,1,4.522142683
2010/10/21 0:00,0.107,4.009199,1,4.48203455
2010/10/22 0:00,0.1025,3.820962,1,4.441967983
2010/10/23 0:00,0.1055,3.854852,1,4.404007683
