时间,币价,NVT,NVTS,SMA60
2010/12/1 0:00,0.2275,73.6973,undefined,null
2010/12/2 0:00,0.255,67.3531,undefined,null
2010/12/3 0:00,0.2511,128.7577,undefined,null
2010/12/4 0:00,0.205,62.352,undefined,null
2010/12/5 0:00,0.19,143.5623,undefined,null
2010/12/6 0:00,0.204,44.4458,undefined,null
2010/12/7 0:00,0.233,48.7408,undefined,null
2010/12/8 0:00,0.2388,116.194,undefined,null
2010/12/9 0:00,0.2,90.2026,undefined,null
2010/12/10 0:00,0.204,142.5629,undefined,null
2010/12/11 0:00,0.228,54.8428,undefined,null
2010/12/12 0:00,0.22,86.3196,undefined,null
2010/12/13 0:00,0.2299,26.2204,undefined,null
2010/12/14 0:00,0.2467,39.0734,undefined,null
2010/12/15 0:00,0.238,39.8177,undefined,null
2010/12/16 0:00,0.25,52.44,undefined,null
2010/12/17 0:00,0.24,68.7178,undefined,null
2010/12/18 0:00,0.241,53.8608,undefined,null
2010/12/19 0:00,0.2401,45.9141,undefined,null
2010/12/20 0:00,0.267,54.1383,undefined,null
2010/12/21 0:00,0.24,44.3685,undefined,null
2010/12/22 0:00,0.25,54.6057,undefined,null
2010/12/23 0:00,0.25,70.636,undefined,null
2010/12/24 0:00,0.248,73.1967,undefined,null
2010/12/25 0:00,0.2499,41.0886,undefined,null
2010/12/26 0:00,0.265,64.4178,undefined,null
2010/12/27 0:00,0.265,49.9619,undefined,null
2010/12/28 0:00,0.281,76.7717,undefined,null
2010/12/29 0:00,0.3,42.0144,undefined,null
2010/12/30 0:00,0.3,68.614,undefined,null
2010/12/31 0:00,0.3,74.3582,undefined,null
2011/1/1 0:00,0.3,78.2232,undefined,null
2011/1/2 0:00,0.3,91.0836,undefined,null
2011/1/3 0:00,0.295,66.9185,undefined,null
2011/1/4 0:00,0.299,106.9668,undefined,null
2011/1/5 0:00,0.299,88.5885,undefined,null
2011/1/6 0:00,0.298,129.8288,undefined,null
2011/1/7 0:00,0.32,78.3959,undefined,null
2011/1/8 0:00,0.3229,75.3516,undefined,null
2011/1/9 0:00,0.323,109.6766,undefined,null
2011/1/10 0:00,0.3266,56.5182,undefined,null
2011/1/11 0:00,0.3266,45.2504,undefined,null
2011/1/12 0:00,0.3188,75.7852,undefined,null
