时间,币价,S2F(月),S2F(年),预期价格(月),预期价格(年)
2010/8/16 0:00,0.0655,0.759903,1.025398,0.175523,0.195532
2010/8/17 0:00,0.07,0.767184,1.025663,0.180617,0.195698
2010/8/18 0:00,0.068,0.774364,1.02579,0.185736,0.195779
2010/8/19 0:00,0.0667,0.782338,1.026069,0.191533,0.195954
2010/8/20 0:00,0.0655,0.786949,1.026394,0.194939,0.196159
2010/8/21 0:00,0.0664,0.789811,1.026575,0.197074,0.196274
2010/8/22 0:00,0.066,0.790398,1.026604,0.197514,0.196292
2010/8/23 0:00,0.0649,0.790191,1.026782,0.197359,0.196404
2010/8/24 0:00,0.065,0.795382,1.026958,0.201274,0.196516
2010/8/25 0:00,0.0648,0.802119,1.027788,0.206432,0.19704
2010/8/26 0:00,0.064,0.799105,1.028578,0.204114,0.19754
2010/8/27 0:00,0.065,0.799893,1.02903,0.204718,0.197827
2010/8/28 0:00,0.0641,0.803646,1.030337,0.207613,0.198657
2010/8/29 0:00,0.064,0.80867,1.0317,0.211531,0.199526
2010/8/30 0:00,0.065,0.818287,1.033421,0.219168,0.200626
2010/8/31 0:00,0.06,0.828732,1.034911,0.227668,0.201582
2010/9/1 0:00,0.0629,0.843406,1.036264,0.239977,0.202453
2010/9/2 0:00,0.0634,0.856372,1.037391,0.251216,0.203181
2010/9/3 0:00,0.0609,0.871045,1.038415,0.264352,0.203844
2010/9/4 0:00,0.0624,0.87964,1.03948,0.272254,0.204534
2010/9/5 0:00,0.0616,0.879262,1.040774,0.271904,0.205376
2010/9/6 0:00,0.0616,0.881168,1.041922,0.273675,0.206124
2010/9/7 0:00,0.061,0.889861,1.043249,0.281855,0.206992
2010/9/8 0:00,0.062,0.896451,1.044402,0.288164,0.207747
2010/9/9 0:00,0.0611,0.907818,1.045296,0.299266,0.208335
2010/9/10 0:00,0.0618,0.920078,1.046395,0.311554,0.209059
2010/9/11 0:00,0.0637,0.932505,1.047504,0.32435,0.209791
2010/9/12 0:00,0.0615,0.942055,1.048631,0.334418,0.210537
